	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
0	Histidine	156.0768	110.0710006953521	1.0	81	Histidine	10
1	Histidine	156.0768	156.0746898835626	0.23262304	81	Histidine	10
2	Histidine	156.0768	83.05996875320886	0.061390158	81	Histidine	10
3	Histidine	156.0768	95.05988957047039	0.021816337	81	Histidine	10
4	Phenylalanine	166.0863	120.08081387494899	1.0	54	Phenylalanine	10
5	Phenylalanine	166.0863	103.05462791928069	0.04043918	54	Phenylalanine	10
6	Phenylalanine	166.0863	166.0872413089832	0.03809024	54	Phenylalanine	10
7	Phenylalanine	166.0863	131.04929158191007	0.028463133	54	Phenylalanine	10
8	Arginine	175.119	175.11799681220882	1.0	80	Arginine	10
9	Arginine	175.119	70.06534355766789	0.58356744	80	Arginine	10
10	Arginine	175.119	60.054864358904176	0.5049859	80	Arginine	10
11	Arginine	175.119	116.07011468982869	0.45730338	80	Arginine	10
12	Aspartic-acid	134.0448	74.0235571699932	1.0	76	Aspartic-acid	10
13	Aspartic-acid	134.0448	88.04005417826957	0.6544992	76	Aspartic-acid	10
14	Aspartic-acid	134.0448	70.02833097708104	0.4974533	76	Aspartic-acid	10
15	Aspartic-acid	134.0448	134.04472044442207	0.28692698	76	Aspartic-acid	10
16	Glutamic-acid	148.0604	84.0445191617443	1.0	72	Glutamic-acid	10
17	Glutamic-acid	148.0604	130.04834254894536	0.5317707	72	Glutamic-acid	10
18	Glutamic-acid	148.0604	102.05522229697853	0.36952838	72	Glutamic-acid	10
19	Glutamic-acid	148.0604	148.06117562169328	0.12595312	72	Glutamic-acid	10
20	Iso/Leucine	132.1019	86.09632097655668	1.0	54	Iso/Leucine	10
21	Iso/Leucine	132.1019	132.1019378712075	0.029325914	54	Iso/Leucine	10
22	Iso/Leucine	132.1019	69.06905411601113	0.0076383776	54	Iso/Leucine	10
23	Iso/Leucine	132.1019	104.05998762762512	0.00339635	54	Iso/Leucine	10
24	Lysine	147.1128	84.08041088610177	1.0	82	Lysine	10
25	Lysine	147.1128	130.08589082977	0.3714653	82	Lysine	10
26	Lysine	147.1128	147.11204488408643	0.07564645	82	Lysine	10
27	Lysine	147.1128	112.07759365958619	0.020943595	82	Lysine	10
28	Methionine	150.0583	56.04904453318877	1.0	58	Methionine	10
29	Methionine	150.0583	104.052119560705	0.8724061	58	Methionine	10
30	Methionine	150.0583	133.03136423451974	0.50143576	58	Methionine	10
31	Methionine	150.0583	61.01025579400296	0.3917213	58	Methionine	10
32	Proline	116.0706	70.06472299190361	1.0	62	Proline	10
33	Proline	116.0706	116.07017234946598	0.32022026	62	Proline	10
34	Proline	116.0706	101.86127511915089	0.0021518208	62	Proline	10
35	Proline	116.0706	104.1740517407674	0.0012813114	62	Proline	10
36	Serine	106.0499	60.04411670768509	1.0	72	Serine	10
37	Serine	106.0499	88.03922928910224	0.08223647	72	Serine	10
38	Serine	106.0499	106.04933652177492	0.07514906	72	Serine	10
39	Serine	106.0499	70.02955475901341	0.04949938	72	Serine	10
40	Threonine	120.0655	74.05950244577477	1.0	70	Threonine	10
41	Threonine	120.0655	56.04891014529815	0.67405134	70	Threonine	10
42	Threonine	120.0655	102.05426906848406	0.17326547	70	Threonine	10
43	Threonine	120.0655	84.04434215300076	0.11556021	70	Threonine	10
44	Tyrosine	182.0812	136.07498961881478	1.0	60	Tyrosine	10
45	Tyrosine	182.0812	165.05453855737338	0.61202675	60	Tyrosine	10
46	Tyrosine	182.0812	147.04382779673102	0.27859354	60	Tyrosine	10
47	Tyrosine	182.0812	123.0440305248471	0.27429828	60	Tyrosine	10
48	Valin	118.0863	118.08626623175626	1.0	60	Valin	10
49	Valin	118.0863	59.07219987598784	0.069554605	60	Valin	10
50	Valin	118.0863	72.07973533730735	0.050030507	60	Valin	10
51	Valin	118.0863	70.06726285774532	0.010829775	60	Valin	10
