	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
2992	HISTIDINE	156.0767525	110.07105	100.0	80.0	HISTIDINE_10eV	10
2993	HISTIDINE	156.0767525	156.07681	19.1	80.0	HISTIDINE_10eV	10
4730	PHENYLALANINE	166.0862546	120.08226	100.0	52.0	PHENYLALANINE_10eV	10
4731	PHENYLALANINE	166.0862546	120.14025	4.1	52.0	PHENYLALANINE_10eV	10
1398	ALANINE	90.05495447	44.04908	100.0	1.0	ALANINE_10eV	10
1399	ALANINE	90.05495447	44.07483	3.1	1.0	ALANINE_10eV	10
1624	ARGININE	175.1189517	175.11748	100.0	80.0	ARGININE_10eV	10
1625	ARGININE	175.1189517	70.06431	60.2	80.0	ARGININE_10eV	10
1628	ARGININE	175.1189517	175.11833	100.0	80.0	ARGININE_10eV	10
1629	ARGININE	175.1189517	70.06447	76.2	80.0	ARGININE_10eV	10
1634	ARGININE	175.1189517	175.11894	100.0	80.0	ARGININE_10eV	10
1635	ARGININE	175.1189517	60.05777	56.1	80.0	ARGININE_10eV	10
1640	ARGININE	175.1189517	175.11945	100.0	80.0	ARGININE_10eV	10
1641	ARGININE	175.1189517	70.06508	48.7	80.0	ARGININE_10eV	10
1664	ASPARTIC ACID	134.0447837	74.02329	100.0	83.0	ASPARTIC ACID_10eV	10
1665	ASPARTIC ACID	134.0447837	88.03948	28.2	83.0	ASPARTIC ACID_10eV	10
2796	GLUTAMIC ACID	148.0604338	84.04471	100.0	70.0	GLUTAMIC ACID_10eV	10
2797	GLUTAMIC ACID	148.0604338	102.05582	24.7	70.0	GLUTAMIC ACID_10eV	10
2840	GLYCINE	76.0393044	76.04221	100.0	1.0	GLYCINE_10eV	10
2841	GLYCINE	76.0393044	58.99625	21.6	1.0	GLYCINE_10eV	10
3499	ISO/LEUCINE-2	132.1019047	86.09095	100.0	55.0	ISO/LEUCINE-2_10eV	10
3500	ISO/LEUCINE-2	132.1019047	69.06474	13.7	55.0	ISO/LEUCINE-2_10eV	10
3609	ISO/LEUCINE-1	132.1019047	86.09759	100.0	53.0	ISO/LEUCINE-1_10eV	10
3610	ISO/LEUCINE-1	132.1019047	44.05037	6.4	53.0	ISO/LEUCINE-1_10eV	10
3699	LYSINE	147.1128037	84.08097	100.0	81.0	LYSINE_10eV	10
3700	LYSINE	147.1128037	130.0862	31.7	81.0	LYSINE_10eV	10
3823	METHIONINE	150.0583256	56.0497	100.0	57.0	METHIONINE_10eV	10
3824	METHIONINE	150.0583256	104.05321	78.8	57.0	METHIONINE_10eV	10
4851	PROLINE	116.0706045	70.06509	100.0	61.0	PROLINE_10eV	10
4852	PROLINE	116.0706045	116.07073	16.2	61.0	PROLINE_10eV	10
5267	SERINE	106.0498691	60.04414	100.0	72.0	SERINE_10eV	10
5268	SERINE	106.0498691	88.03872	7.7	72.0	SERINE_10eV	10
5653	THREONINE	120.0655192	74.05986	100.0	69.0	THREONINE_10eV	10
5654	THREONINE	120.0655192	56.04918	82.6	69.0	THREONINE_10eV	10
5854	TYROSINE	182.0811692	136.06638	100.0	60.0	TYROSINE_10eV	10
5855	TYROSINE	182.0811692	165.04468	45.9	60.0	TYROSINE_10eV	10
5930	VALINE	118.0862546	72.08071	100.0	60.0	VALINE_10eV	10
5931	VALINE	118.0862546	55.05454	12.9	60.0	VALINE_10eV	10
