	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
0	(2-AMINOETHYL)PHOSPHONATE	126.0314558	109.00481	100.0	1.0	(2-AMINOETHYL)PHOSPHONATE_10eV	10
1	(2-AMINOETHYL)PHOSPHONATE	126.0314558	126.03183	42.9	1.0	(2-AMINOETHYL)PHOSPHONATE_10eV	10
2	(2-AMINOETHYL)PHOSPHONATE	126.0314558	80.97356	100.0	1.0	(2-AMINOETHYL)PHOSPHONATE_40eV	40
3	(2-AMINOETHYL)PHOSPHONATE	126.0314558	62.9627	57.7	1.0	(2-AMINOETHYL)PHOSPHONATE_40eV	40
4	(2-AMINOETHYL)PHOSPHONATE	126.0314558	80.97342	100.0	1.0	(2-AMINOETHYL)PHOSPHONATE_20eV	20
5	(2-AMINOETHYL)PHOSPHONATE	126.0314558	78.99384	55.0	1.0	(2-AMINOETHYL)PHOSPHONATE_20eV	20
6	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	184.07405	100.0	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_20eV	20
7	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	566.3812	11.2	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_20eV	20
8	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	566.38286	100.0	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_10eV	10
9	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	184.07344	39.9	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_10eV	10
10	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	184.07381	100.0	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_40eV	40
11	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	566.3816304	86.09655	19.2	1.0	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE_40eV	40
12	1,3,7-TRIMETHYLURIC ACID	211.0825662	211.08557	100.0	1.0	1,3,7-TRIMETHYLURIC ACID_10eV	10
13	1,3,7-TRIMETHYLURIC ACID	211.0825662	196.06202	6.1	1.0	1,3,7-TRIMETHYLURIC ACID_10eV	10
14	1,3,7-TRIMETHYLURIC ACID	211.0825662	42.0356	100.0	1.0	1,3,7-TRIMETHYLURIC ACID_40eV	40
15	1,3,7-TRIMETHYLURIC ACID	211.0825662	68.03929	97.3	1.0	1,3,7-TRIMETHYLURIC ACID_40eV	40
16	1,3,7-TRIMETHYLURIC ACID	211.0825662	211.08563	100.0	1.0	1,3,7-TRIMETHYLURIC ACID_20eV	20
17	1,3,7-TRIMETHYLURIC ACID	211.0825662	196.06272	75.8	1.0	1,3,7-TRIMETHYLURIC ACID_20eV	20
18	1,3-DIAMINOPROPANE	75.09167433	58.06479	100.0	1.0	1,3-DIAMINOPROPANE_10eV	10
19	1,3-DIAMINOPROPANE	75.09167433	75.09073	4.2	1.0	1,3-DIAMINOPROPANE_10eV	10
20	1,3-DIAMINOPROPANE	75.09167433	42.0328	100.0	1.0	1,3-DIAMINOPROPANE_40eV	40
21	1,3-DIAMINOPROPANE	75.09167433	39.0224	69.1	1.0	1,3-DIAMINOPROPANE_40eV	40
22	1,3-DIAMINOPROPANE	75.09167433	58.06518	100.0	1.0	1,3-DIAMINOPROPANE_20eV	20
23	1,3-DIAMINOPROPANE	75.09167433	41.0379	11.3	1.0	1,3-DIAMINOPROPANE_20eV	20
24	1,3-DIAMINOPROPANE	75.09167433	58.06928	100.0	1.0	1,3-DIAMINOPROPANE_20eV	20
25	1,3-DIAMINOPROPANE	75.09167433	58.08318	28.5	1.0	1,3-DIAMINOPROPANE_20eV	20
26	1,3-DIAMINOPROPANE	75.09167433	58.06913	100.0	1.0	1,3-DIAMINOPROPANE_10eV	10
27	1,3-DIAMINOPROPANE	75.09167433	58.07874	62.8	1.0	1,3-DIAMINOPROPANE_10eV	10
28	1,3-DIAMINOPROPANE	75.09167433	39.03471	100.0	1.0	1,3-DIAMINOPROPANE_40eV	40
29	1,3-DIAMINOPROPANE	75.09167433	42.04537	60.0	1.0	1,3-DIAMINOPROPANE_40eV	40
30	1,3-DIMETHYLURACIL	141.0658535	141.06659	100.0	1.0	1,3-DIMETHYLURACIL_10eV	10
