	CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	TransitionGroupId	CollisionEnergy
2992	HISTIDINE	156.0767525	110.07105	100.0	82.0	HISTIDINE_10eV	10
2993	HISTIDINE	156.0767525	156.07681	19.1	82.0	HISTIDINE_10eV	10
2994	HISTIDINE	156.0767525	110.07131	100.0	82.0	HISTIDINE_20eV	20
2995	HISTIDINE	156.0767525	83.06059	38.5	82.0	HISTIDINE_20eV	20
2996	HISTIDINE	156.0767525	56.0496	100.0	82.0	HISTIDINE_40eV	40
2997	HISTIDINE	156.0767525	83.06042	78.9	82.0	HISTIDINE_40eV	40
4730	PHENYLALANINE	166.0862546	120.08226	100.0	53.0	PHENYLALANINE_10eV	10
4731	PHENYLALANINE	166.0862546	120.14025	4.1	53.0	PHENYLALANINE_10eV	10
4732	PHENYLALANINE	166.0862546	120.08214	100.0	53.0	PHENYLALANINE_20eV	20
4733	PHENYLALANINE	166.0862546	103.05598	23.5	53.0	PHENYLALANINE_20eV	20
4734	PHENYLALANINE	166.0862546	77.03979	100.0	53.0	PHENYLALANINE_40eV	40
4735	PHENYLALANINE	166.0862546	103.05588	45.7	53.0	PHENYLALANINE_40eV	40
4742	PHENYLALANINE	166.0862546	77.03862	100.0	53.0	PHENYLALANINE_40eV	40
4743	PHENYLALANINE	166.0862546	103.05475	37.0	53.0	PHENYLALANINE_40eV	40
1398	ALANINE	90.05495447	44.04908	100.0	1.0	ALANINE_10eV	10
1399	ALANINE	90.05495447	44.07483	3.1	1.0	ALANINE_10eV	10
1400	ALANINE	90.05495447	44.04918	100.0	1.0	ALANINE_20eV	20
1401	ALANINE	90.05495447	44.99593	2.6	1.0	ALANINE_20eV	20
1402	ALANINE	90.05495447	44.04926	100.0	1.0	ALANINE_40eV	40
1403	ALANINE	90.05495447	44.99672	51.0	1.0	ALANINE_40eV	40
1622	ARGININE	175.1189517	70.06425	100.0	82.0	ARGININE_20eV	20
1623	ARGININE	175.1189517	60.05458	20.2	82.0	ARGININE_20eV	20
1624	ARGININE	175.1189517	175.11748	100.0	82.0	ARGININE_10eV	10
1625	ARGININE	175.1189517	70.06431	60.2	82.0	ARGININE_10eV	10
1626	ARGININE	175.1189517	70.06447	100.0	82.0	ARGININE_40eV	40
1627	ARGININE	175.1189517	60.05476	5.3	82.0	ARGININE_40eV	40
1628	ARGININE	175.1189517	175.11833	100.0	82.0	ARGININE_10eV	10
1629	ARGININE	175.1189517	70.06447	76.2	82.0	ARGININE_10eV	10
1630	ARGININE	175.1189517	70.06431	100.0	82.0	ARGININE_40eV	40
1631	ARGININE	175.1189517	60.05466	6.8	82.0	ARGININE_40eV	40
1632	ARGININE	175.1189517	70.06435	100.0	82.0	ARGININE_20eV	20
1633	ARGININE	175.1189517	60.05481	18.6	82.0	ARGININE_20eV	20
1634	ARGININE	175.1189517	175.11894	100.0	82.0	ARGININE_10eV	10
1635	ARGININE	175.1189517	60.05777	56.1	82.0	ARGININE_10eV	10
1636	ARGININE	175.1189517	70.06818	100.0	82.0	ARGININE_40eV	40
1637	ARGININE	175.1189517	60.05753	10.7	82.0	ARGININE_40eV	40
1638	ARGININE	175.1189517	70.06683	100.0	82.0	ARGININE_20eV	20
1639	ARGININE	175.1189517	70.07731	47.6	82.0	ARGININE_20eV	20
1640	ARGININE	175.1189517	175.11945	100.0	82.0	ARGININE_10eV	10
1641	ARGININE	175.1189517	70.06508	48.7	82.0	ARGININE_10eV	10
1642	ARGININE	175.1189517	70.06473	100.0	82.0	ARGININE_40eV	40
