Aspartic acid	132.030234	C4H7NO4	133.03751
4-Methyl-2-oxovaleric acid (Ketoleucine)/ Ketoisoleucine	129.055714	C6H10O3	130.06299
Shikimate	173.045544	C7H10O5	174.05282
Orotate	155.009834	C5H4N2O4	156.01711
Dihydroorotate	157.025482	C5H6N2O4	158.032758
UDP-N-acetyl-D-Glucosamine	606.074302	C17H27N3O17P2	607.081578
Erythrose 4-phosphate	199.001317	C4H9O7P	200.008593
Pentose-Phosphates	229.011882	C5H11O8P	230.019158
Seduheptulose-7-phosphate	289.033012	C7H15O10P	290.040288
Malate	133.014249	C4H6O5	134.021525
Succinate	117.019334	C4H6O4	118.02661
a-Ketoglutaric acid	145.014249	C5H6O5	146.021525
Glutamic acid	146.045883	C5H9NO4	147.053159
Phenylalanine	164.071703	C9H11NO2	165.078979
Tryptophan	203.082602	C11H12N2O2	204.089878
Arginine	173.1044	C6H14N4O2	174.111676
Histidine	154.062201	C6H9N3O2	155.069477
Lysine	145.098252	C6H14N2O2	146.105528
Glutamine	145.061867	C5H10N2O3	146.069143
Asparagine	131.046217	C4H8N2O3	132.053493
Serine	104.035318	C3H7NO3	105.042594
Threonine/Homoserine	118.050968	C4H9NO3	119.058244
Alanine	88.040403	C3H7NO2	89.047679
Glycine	74.024753	C2H5NO2	75.032029
Leucine/Isoleucine	130.087353	C6H13NO2	131.094629
Methionine	148.043775	C5H11NO2S	149.051051
Proline	114.056053	C5H9NO2	115.063329
Ornithine	131.082602	C5H12N2O2	132.089878
Adenine	134.047219	C5H5N5	135.054495
Aspartic Acid Positive	132.030233	C4H7NO4	133.037509
Tyrosine_Aquity	180.066618	C9H11NO3	181.073894
Valine_Aquity	116.071703	C5H11NO2	117.078979
Inosine	267.073495	C10H12N4O5	268.080771
Cytosine	110.035986	C4H5N3O	111.043262
Anthranilate	136.040403	C7H7NO2	137.047679
Histidinol	140.082936	C6H11N3O	141.090212
Diaminopimelic acid	189.088082	C7H14N2O4	190.095358
N-Acetyl-L-Glutamic acid	188.056448	C7H11NO5	189.063724
Hypoxanthine	135.031235	C5H4N4O	136.038511
D-Glucosamine-6-phosphate	258.038431	C6H14NO8P	259.045707
D-Pantothenic acid	218.103398	C9H17NO5	219.110674
Reduced glutathione	306.076533	C10H17N3O6S	307.083809
D-Alanyl-Alanine	159.077517	C6H12N2O3	160.084793
Folate	440.132407	C19H19N7O6	441.139683
Riboflavin	375.13101	C17H20N4O6	376.138286
Flavin adenine dinucleotide	784.149866	C27H33N9O15P2	785.157142
Pyridoxamine	167.082602	C8H12N2O2	168.089878
Xanthosine	283.06841	C10H12N4O6	284.075686
gamma-L-Glutamyl-L-cysteine	249.055069	C8H14N2O5S	250.062345
Urea (Carbamide)	59.025087	CH4N2O	60.032363
